日期,收盤,開盤,最高,最低,成交量
2024/7/1, NT$191.80 , NT$186.55 , NT$192.85 , NT$184.50 ,"44,115,406 "
2024/7/8, NT$196.35 , NT$191.90 , NT$202.80 , NT$191.85 ,"68,688,235 "
2024/7/15, NT$186.25 , NT$197.65 , NT$199.00 , NT$186.20 ,"77,983,313 "
2024/7/22, NT$179.00 , NT$185.40 , NT$186.30 , NT$177.10 ,"65,820,719 "
2024/7/29, NT$174.70 , NT$181.80 , NT$185.10 , NT$174.70 ,"81,452,860 "
2024/8/5, NT$175.85 , NT$166.65 , NT$176.90 , NT$158.40 ,"210,070,367 "
2024/8/12, NT$183.40 , NT$177.25 , NT$183.65 , NT$177.25 ,"74,713,336 "
2024/8/19, NT$180.95 , NT$183.50 , NT$185.20 , NT$178.90 ,"47,192,467 "
2024/8/26, NT$181.35 , NT$182.40 , NT$183.40 , NT$179.15 ,"42,869,770 "
2024/9/2, NT$174.75 , NT$181.90 , NT$182.45 , NT$170.00 ,"70,958,180 "
2024/9/9, NT$178.40 , NT$170.40 , NT$179.35 , NT$170.30 ,"52,761,268 "
2024/9/16, NT$182.45 , NT$178.60 , NT$184.10 , NT$176.55 ,"38,721,471 "
2024/9/23, NT$188.90 , NT$182.55 , NT$191.25 , NT$182.10 ,"60,604,435 "
2024/9/30, NT$183.60 , NT$186.55 , NT$187.20 , NT$183.00 ,"33,588,188 "
2024/10/7, NT$192.15 , NT$185.80 , NT$192.80 , NT$185.50 ,"49,005,918 "
2024/10/14, NT$198.10 , NT$192.10 , NT$200.20 , NT$190.95 ,"88,601,827 "
2024/10/21, NT$196.40 , NT$199.05 , NT$199.95 , NT$194.50 ,"54,366,536 "
2024/10/28, NT$191.80 , NT$197.90 , NT$198.15 , NT$190.20 ,"52,469,773 "
