日期,收盤,開盤,最高,最低,成交量
2022/1/10, NT$643.00 , NT$628.00 , NT$645.00 , NT$627.00 ,"39,286,754"
2022/1/11, NT$651.00 , NT$646.00 , NT$651.00 , NT$639.00 ,"36,186,544"
2022/1/12, NT$660.00 , NT$657.00 , NT$660.00 , NT$650.00 ,"40,832,298"
2022/1/13, NT$661.00 , NT$658.00 , NT$662.00 , NT$655.00 ,"39,172,028"
2022/1/14, NT$672.00 , NT$673.00 , NT$673.00 , NT$661.00 ,"98,768,193"
2022/1/17, NT$683.00 , NT$685.00 , NT$688.00 , NT$678.00 ,"63,828,552"
2022/1/18, NT$662.00 , NT$678.00 , NT$681.00 , NT$662.00 ,"48,802,321"
2022/1/19, NT$654.00 , NT$652.00 , NT$660.00 , NT$651.00 ,"44,092,247"
2022/1/20, NT$651.00 , NT$650.00 , NT$657.00 , NT$646.00 ,"48,996,473"
2022/1/21, NT$641.00 , NT$644.00 , NT$646.00 , NT$637.00 ,"53,966,101"
2022/1/24, NT$653.00 , NT$639.00 , NT$655.00 , NT$637.00 ,"48,665,203"
