日期,收盤,開盤,最高,最低,成交量
2011/12/1, NT$49.81 , NT$49.60 , NT$50.60 , NT$46.61 ,"383,640,993"
2012/1/1, NT$51.95 , NT$49.45 , NT$52.40 , NT$48.94 ,"319,331,159"
2012/2/1, NT$56.00 , NT$52.20 , NT$56.00 , NT$52.00 ,"480,124,678"
2012/3/1, NT$54.90 , NT$55.95 , NT$56.20 , NT$54.00 ,"261,948,569"
2012/4/1, NT$52.05 , NT$54.90 , NT$54.90 , NT$51.65 ,"223,922,950"
2012/5/1, NT$50.15 , NT$52.25 , NT$53.35 , NT$48.85 ,"351,268,922"
2012/6/1, NT$50.20 , NT$49.85 , NT$50.50 , NT$47.45 ,"203,976,639"
2012/7/1, NT$51.10 , NT$50.50 , NT$51.75 , NT$48.51 ,"226,915,752"
2012/8/1, NT$52.75 , NT$50.90 , NT$53.80 , NT$50.55 ,"217,450,215"
2012/9/1, NT$55.15 , NT$52.70 , NT$55.80 , NT$51.90 ,"238,815,684"
2012/10/1, NT$50.40 , NT$55.00 , NT$55.35 , NT$49.87 ,"303,734,797"
2012/11/1, NT$53.55 , NT$50.10 , NT$53.70 , NT$49.50 ,"253,217,812"
2012/12/1, NT$53.80 , NT$53.55 , NT$54.80 , NT$52.40 ,"232,568,194"
2013/1/1, NT$54.60 , NT$54.00 , NT$55.05 , NT$53.20 ,"254,760,513"
2013/2/1, NT$55.20 , NT$54.70 , NT$56.20 , NT$54.60 ,"200,705,024"
2013/3/1, NT$55.10 , NT$55.35 , NT$56.10 , NT$54.15 ,"161,341,574"
2013/4/1, NT$56.40 , NT$55.10 , NT$56.55 , NT$53.45 ,"171,686,952"
2013/5/1, NT$56.95 , NT$56.35 , NT$58.90 , NT$56.35 ,"246,909,097"
2013/6/1, NT$55.10 , NT$56.45 , NT$56.80 , NT$52.95 ,"264,621,298"
2013/7/1, NT$56.60 , NT$54.80 , NT$57.75 , NT$54.80 ,"235,778,042"
2013/8/1, NT$55.85 , NT$56.55 , NT$57.00 , NT$53.85 ,"299,437,585"
2013/9/1, NT$57.15 , NT$55.95 , NT$58.15 , NT$55.90 ,"261,560,359"
2013/10/1, NT$57.90 , NT$57.00 , NT$59.15 , NT$56.85 ,"202,791,359"
2013/11/1, NT$57.55 , NT$58.00 , NT$58.10 , NT$55.40 ,"220,649,718"
2013/12/1, NT$58.70 , NT$57.60 , NT$59.05 , NT$56.70 ,"153,112,797"
2014/1/1, NT$57.60 , NT$58.70 , NT$58.85 , NT$57.40 ,"175,627,508"
2014/2/1, NT$58.30 , NT$56.40 , NT$58.50 , NT$55.60 ,"248,777,538"
2014/3/1, NT$60.10 , NT$57.80 , NT$60.15 , NT$57.50 ,"263,621,560"
2014/4/1, NT$61.00 , NT$60.25 , NT$62.05 , NT$60.20 ,"237,523,289"
2014/5/1, NT$63.10 , NT$61.15 , NT$63.80 , NT$61.00 ,"175,111,073"
2014/6/1, NT$65.95 , NT$63.15 , NT$66.00 , NT$62.80 ,"122,032,115"
2014/7/1, NT$66.75 , NT$65.95 , NT$69.05 , NT$65.85 ,"133,219,493"
2014/8/1, NT$69.20 , NT$65.95 , NT$69.45 , NT$65.05 ,"137,667,759"
2014/9/1, NT$65.30 , NT$69.25 , NT$69.95 , NT$64.65 ,"323,366,696"
2014/10/1, NT$65.30 , NT$65.05 , NT$66.70 , NT$62.80 ,"285,181,416"
2014/11/1, NT$67.50 , NT$65.30 , NT$67.85 , NT$64.70 ,"275,950,789"
2014/12/1, NT$66.85 , NT$66.30 , NT$67.45 , NT$63.40 ,"231,154,604"
2015/1/1, NT$68.00 , NT$66.40 , NT$69.25 , NT$64.70 ,"301,051,005"
2015/2/1, NT$70.30 , NT$68.20 , NT$70.90 , NT$67.90 ,"133,842,939"
2015/3/1, NT$69.05 , NT$70.30 , NT$70.90 , NT$68.30 ,"162,469,692"
2015/4/1, NT$71.45 , NT$68.70 , NT$73.30 , NT$68.40 ,"207,611,162"
2015/5/1, NT$71.10 , NT$71.45 , NT$71.90 , NT$69.70 ,"153,333,807"
2015/6/1, NT$69.40 , NT$71.10 , NT$71.15 , NT$68.00 ,"195,140,364"
2015/7/1, NT$66.15 , NT$69.40 , NT$70.30 , NT$65.10 ,"295,443,361"
2015/8/1, NT$62.30 , NT$65.90 , NT$66.05 , NT$55.40 ,"411,323,192"
2015/9/1, NT$62.40 , NT$61.90 , NT$65.15 , NT$60.95 ,"196,092,860"
2015/10/1, NT$63.20 , NT$62.60 , NT$66.50 , NT$62.20 ,"198,355,706"
2015/11/1, NT$61.20 , NT$63.10 , NT$65.65 , NT$60.45 ,"220,685,173"
2015/12/1, NT$60.75 , NT$61.70 , NT$63.00 , NT$59.00 ,"192,117,767"
2016/1/1, NT$59.00 , NT$60.80 , NT$60.95 , NT$55.60 ,"349,352,193"
2016/2/1, NT$61.25 , NT$59.50 , NT$61.70 , NT$58.10 ,"141,140,811"
2016/3/1, NT$64.65 , NT$61.25 , NT$65.40 , NT$61.10 ,"417,786,284"
2016/4/1, NT$61.60 , NT$64.25 , NT$64.65 , NT$61.35 ,"130,671,896"
2016/5/1, NT$63.15 , NT$61.60 , NT$63.35 , NT$59.00 ,"335,666,706"
2016/6/1, NT$65.45 , NT$62.95 , NT$65.55 , NT$62.05 ,"321,287,729"
2016/7/1, NT$68.55 , NT$65.85 , NT$69.95 , NT$64.70 ,"293,374,477"
2016/8/1, NT$69.40 , NT$68.80 , NT$70.60 , NT$68.05 ,"169,089,666"
2016/9/1, NT$70.95 , NT$69.30 , NT$72.15 , NT$68.20 ,"117,211,460"
2016/10/1, NT$72.60 , NT$71.20 , NT$73.50 , NT$70.60 ,"100,559,651"
2016/11/1, NT$71.70 , NT$72.25 , NT$73.05 , NT$69.45 ,"119,471,472"
2016/12/1, NT$71.80 , NT$71.60 , NT$73.55 , NT$70.35 ,"72,862,499"
2017/1/1, NT$73.30 , NT$71.70 , NT$73.30 , NT$71.50 ,"57,360,663"
2017/2/1, NT$73.15 , NT$73.50 , NT$74.20 , NT$71.35 ,"72,636,812"
2017/3/1, NT$73.70 , NT$73.10 , NT$74.90 , NT$71.55 ,"93,164,983"
2017/4/1, NT$74.55 , NT$73.95 , NT$74.80 , NT$72.50 ,"68,489,730"
2017/5/1, NT$76.50 , NT$74.50 , NT$77.50 , NT$74.30 ,"78,041,194"
2017/6/1, NT$80.40 , NT$76.50 , NT$81.50 , NT$76.50 ,"96,527,421"
2017/7/1, NT$81.35 , NT$80.40 , NT$83.00 , NT$79.75 ,"65,025,936"
2017/8/1, NT$82.95 , NT$82.15 , NT$83.25 , NT$80.60 ,"73,565,813"
2017/9/1, NT$80.65 , NT$82.95 , NT$83.35 , NT$80.30 ,"82,417,928"
2017/10/1, NT$85.20 , NT$81.25 , NT$85.35 , NT$81.25 ,"75,757,609"
2017/11/1, NT$82.25 , NT$85.35 , NT$85.60 , NT$82.25 ,"56,406,312"
2017/12/1, NT$82.15 , NT$82.15 , NT$82.95 , NT$80.45 ,"80,950,768"
2018/1/1, NT$84.65 , NT$82.15 , NT$88.40 , NT$82.15 ,"112,549,751"
2018/2/1, NT$82.35 , NT$84.75 , NT$85.50 , NT$78.00 ,"114,574,522"
2018/3/1, NT$82.95 , NT$81.55 , NT$84.95 , NT$80.45 ,"101,783,507"
2018/4/1, NT$80.00 , NT$82.85 , NT$83.15 , NT$78.80 ,"129,069,702"
2018/5/1, NT$80.75 , NT$80.05 , NT$82.60 , NT$78.35 ,"115,243,954"
2018/6/1, NT$81.45 , NT$80.80 , NT$83.60 , NT$79.80 ,"118,662,141"
2018/7/1, NT$85.55 , NT$81.50 , NT$85.90 , NT$80.20 ,"151,297,129"
2018/8/1, NT$86.95 , NT$85.80 , NT$88.35 , NT$83.05 ,"102,576,053"
2018/9/1, NT$86.90 , NT$86.95 , NT$87.65 , NT$84.90 ,"176,103,675"
